ticker,name,market,segment_start_snapshot,warmup_required_sessions,warmup_actual_sessions,warmup_start,warmup_end,segment_type,required_unique_ticker_dates,ready_unique_ticker_dates,blocked_unique_ticker_dates,kd_raw_hlc_warmup_ready
3008,大立光,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
3260,威剛,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,60,0,True
1609,大亞,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
3665,貿聯-KY,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2388,威盛,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
1504,東元,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2308,台達電,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
3680,家登,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,60,0,True
8478,東哥遊艇,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2330,台積電,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
3293,鈊象,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,60,0,True
2886,兆豐金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2353,宏碁,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
1513,中興電,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
1477,聚陽,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
3207,耀勝,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,60,0,True
5483,中美晶,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,60,0,True
2206,三陽工業,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
5388,中磊,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2317,鴻海,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
4938,和碩,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2481,強茂,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
9958,世紀鋼,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
1514,亞力,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2881,富邦金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
6285,啟碁,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2329,華泰,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
2449,京元電子,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
3587,閎康,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,60,0,True
2377,微星,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
3704,合勤控,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
8255,朋程,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,60,0,True
3289,宜特,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,60,0,True
5871,中租-KY,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80,60,57,3,False
