ticker,name,sector,mainline,theme,source_date,effective_date,as_of_date,source_url,source_type,formal_exact,accepted_for_diagnostic,accepted_for_formal,evidence,notes
1101,台泥,水泥工業,水泥工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(水泥工業),"TWSE MI_INDEX type=01; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1102,亞泥,水泥工業,水泥工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(水泥工業),"TWSE MI_INDEX type=01; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1103,嘉泥,水泥工業,水泥工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(水泥工業),"TWSE MI_INDEX type=01; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1104,環泥,水泥工業,水泥工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(水泥工業),"TWSE MI_INDEX type=01; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1108,幸福,水泥工業,水泥工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(水泥工業),"TWSE MI_INDEX type=01; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1109,信大,水泥工業,水泥工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(水泥工業),"TWSE MI_INDEX type=01; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1110,東泥,水泥工業,水泥工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=01,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(水泥工業),"TWSE MI_INDEX type=01; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1201,味全,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1203,味王,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1210,大成,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1213,大飲,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1215,卜蜂,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1216,統一,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1217,愛之味,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1218,泰山,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1219,福壽,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1220,台榮,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1225,福懋油,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1227,佳格,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1229,聯華,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1231,聯華食,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1232,大統益,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1233,天仁,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1234,黑松,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1235,興泰,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
1236,宏亞,食品工業,食品工業,,2015-01-05,2015-01-05,2015-01-05,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20150105&type=02,official_twse_daily_industry_membership_candidate,false,true,false,104年01月05日 每日收盤行情(食品工業),"TWSE MI_INDEX type=02; sample route accepted as date-aware sector membership candidate, not full-range formal panel."
