date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2022-07-25,ASIC/IP,3443,創意,1,97.1,40.1,40.0,0.1,20148.1,130756.8,25.0,45.0,56.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,42.7,100.0,0,0,0,4,12.0,1.5,false,true,false,false
2022-07-25,ASIC/IP,3661,世芯-KY,1,97.1,40.1,40.0,0.1,20148.1,130756.8,25.0,45.0,61.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,3,18.3,-0.2,false,false,false,false
2022-07-25,ASIC/IP,3035,智原,1,97.1,40.1,40.0,0.1,20148.1,130756.8,25.0,45.0,65.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,36.0,100.0,0,0,0,1,32.2,3.2,true,false,false,false
2022-07-25,ASIC/IP,6531,愛普*,1,97.1,40.1,40.0,0.1,20148.1,130756.8,25.0,45.0,28.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,22.7,0,0,0,8,2.2,-2.1,false,false,false,false
2022-07-25,ASIC/IP,3529,力旺,1,97.1,40.1,40.0,0.1,20148.1,130756.8,25.0,45.0,45.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,65.9,0,0,0,5,6.5,-1.2,false,false,false,false
2022-07-25,ASIC/IP,5274,信驊,1,97.1,40.1,40.0,0.1,20148.1,130756.8,25.0,45.0,32.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,32.4,0,0,0,7,3.2,-1.2,false,false,false,false
2022-07-25,ASIC/IP,2454,聯發科,1,97.1,40.1,40.0,0.1,20148.1,130756.8,25.0,45.0,62.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,2,20.3,0.2,true,false,false,false
2022-07-25,ASIC/IP,2379,瑞昱,1,97.1,40.1,40.0,0.1,20148.1,130756.8,25.0,45.0,40.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2022-01-03,PE or revenue data missing; excluded from qualified candidates,33.8,52.8,0,0,0,6,5.2,-0.2,false,false,false,false
2022-07-25,PCB/載板,3037,欣興,2,61.5,23.1,25.5,-3.0,11617.5,83473.4,20.0,45.0,67.4,theme_leader,true,70.0,ok,2022-01-03,fundamental checks passed,33.8,100.0,6200,3100,6.0,1,35.8,0.0,true,false,false,false
2022-07-25,PCB/載板,8046,南電,2,61.5,23.1,25.5,-3.0,11617.5,83473.4,20.0,45.0,65.4,theme_leader,true,70.0,ok,2022-01-03,fundamental checks passed,33.8,100.0,3300,1800,8.0,2,30.1,6.6,true,false,false,false
