symbol,ticker,name,date,missing_reason,source_url,blocking,checked_at
0050,0050.TW,元大台灣50,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,no,2026-06-08T09:07:35+00:00
00631L,00631L.TW,元大台灣50正2,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,no,2026-06-08T09:07:35+00:00
2308,2308.TW,台達電,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
2317,2317.TW,鴻海,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
2330,2330.TW,台積電,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
2382,2382.TW,廣達,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
2454,2454.TW,聯發科,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
3231,3231.TW,緯創,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
6669,6669.TW,緯穎,2022-01-25,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220125&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
0050,0050.TW,元大台灣50,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,no,2026-06-08T09:07:35+00:00
00631L,00631L.TW,元大台灣50正2,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,no,2026-06-08T09:07:35+00:00
2308,2308.TW,台達電,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
2317,2317.TW,鴻海,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
2330,2330.TW,台積電,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
2382,2382.TW,廣達,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
2454,2454.TW,聯發科,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
3231,3231.TW,緯創,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
6669,6669.TW,緯穎,2022-08-24,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20220824&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
0050,0050.TW,元大台灣50,2022-10-17,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20221017&selectType=All&response=json,no,2026-06-08T09:07:35+00:00
00631L,00631L.TW,元大台灣50正2,2022-10-17,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20221017&selectType=All&response=json,no,2026-06-08T09:07:35+00:00
2308,2308.TW,台達電,2022-10-17,missing_twse_twtb4u_target_symbol_row,https://www.twse.com.tw/rwd/zh/dayTrading/TWTB4U?date=20221017&selectType=All&response=json,yes,2026-06-08T09:07:35+00:00
