date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_source_date,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2023-12-11,ASIC/IP,3443,創意,1,99.8,37.3,35.7,2.0,40287.9,173602.2,50.0,48.6,65.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.4,100.0,0,0,0,1,33.5,5.5,true,false,false,false
2023-12-11,ASIC/IP,3661,世芯-KY,1,99.8,37.3,35.7,2.0,40287.9,173602.2,50.0,48.6,56.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,57.4,100.0,0,0,0,2,23.7,-3.5,true,false,false,false
2023-12-11,ASIC/IP,3035,智原,1,99.8,37.3,35.7,2.0,40287.9,173602.2,50.0,48.6,58.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.4,100.0,0,0,0,4,12.8,-6.7,false,false,false,false
2023-12-11,ASIC/IP,6531,愛普*,1,99.8,37.3,35.7,2.0,40287.9,173602.2,50.0,48.6,56.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.4,100.0,0,0,0,5,5.4,-0.9,false,false,false,false
2023-12-11,ASIC/IP,3529,力旺,1,99.8,37.3,35.7,2.0,40287.9,173602.2,50.0,48.6,47.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,51.1,89.5,0,0,0,7,4.4,2.2,false,false,true,false
2023-12-11,ASIC/IP,5274,信驊,1,99.8,37.3,35.7,2.0,40287.9,173602.2,50.0,48.6,50.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,52.2,97.9,0,0,0,6,4.9,1.9,false,false,false,false
2023-12-11,ASIC/IP,2454,聯發科,1,99.8,37.3,35.7,2.0,40287.9,173602.2,50.0,48.6,58.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,36.4,100.0,0,0,0,3,13.2,1.6,false,true,false,false
2023-12-11,ASIC/IP,2379,瑞昱,1,99.8,37.3,35.7,2.0,40287.9,173602.2,50.0,48.6,32.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,42.3,40.4,0,0,0,8,2.0,-0.2,false,false,false,false
2023-12-11,AI伺服器/ODM,2382,廣達,2,59.4,21.2,27.0,-7.3,22899.3,129925.3,25.0,45.0,60.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.7,100.0,0,0,0,2,18.5,-1.7,true,false,false,false
2023-12-11,AI伺服器/ODM,3231,緯創,2,59.4,21.2,27.0,-7.3,22899.3,129925.3,25.0,45.0,60.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,3,15.4,-4.6,false,false,false,false
2023-12-11,AI伺服器/ODM,6669,緯穎,2,59.4,21.2,27.0,-7.3,22899.3,129925.3,25.0,45.0,58.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,4,11.1,-1.6,false,false,false,false
2023-12-11,AI伺服器/ODM,2356,英業達,2,59.4,21.2,27.0,-7.3,22899.3,129925.3,25.0,45.0,37.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.2,47.0,0,0,0,8,4.1,0.6,false,false,false,false
2023-12-11,AI伺服器/ODM,2376,技嘉,2,59.4,21.2,27.0,-7.3,22899.3,129925.3,25.0,45.0,63.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,1,25.6,-2.1,true,false,false,false
2023-12-11,AI伺服器/ODM,2357,華碩,2,59.4,21.2,27.0,-7.3,22899.3,129925.3,25.0,45.0,43.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,61.2,0,0,0,7,5.3,0.9,false,false,false,false
2023-12-11,AI伺服器/ODM,2317,鴻海,2,59.4,21.2,27.0,-7.3,22899.3,129925.3,25.0,45.0,58.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,5,11.0,4.4,false,true,false,false
2023-12-11,AI伺服器/ODM,2301,光寶科,2,59.4,21.2,27.0,-7.3,22899.3,129925.3,25.0,45.0,58.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,100.0,0,0,0,6,8.9,4.0,false,false,true,false
2023-12-11,CPO/矽光子,3163,波若威,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,33.4,theme_second_line,true,70.0,ok,2021-12-01,fundamental checks passed,53.6,48.8,1400,400,16.0,4,6.8,3.3,false,true,false,false
2023-12-11,CPO/矽光子,3363,上詮,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,31.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,45.9,37.9,0,0,0,5,5.3,-4.6,false,false,false,false
2023-12-11,CPO/矽光子,4908,前鼎,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,52.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,71.4,100.0,0,0,0,2,24.9,16.0,true,false,false,true
2023-12-11,CPO/矽光子,4979,華星光,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,70.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,39.5,100.0,0,0,0,1,49.9,10.8,true,false,false,false
2023-12-11,CPO/矽光子,3081,聯亞,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,20.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,39.2,4.3,0,0,0,10,0.6,-2.4,false,false,false,false
2023-12-11,CPO/矽光子,3450,聯鈞,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,41.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,37.3,56.5,0,0,0,3,7.9,-17.5,false,false,false,false
2023-12-11,CPO/矽光子,3234,光環,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,20.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,37.3,4.9,0,0,0,9,0.7,-0.9,false,false,false,false
2023-12-11,CPO/矽光子,4977,眾達-KY,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,20.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,37.3,5.1,0,0,0,7,0.7,-0.6,false,false,false,false
2023-12-11,CPO/矽光子,6442,光聖,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,19.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,42.7,4.9,0,0,0,8,0.7,-0.7,false,false,false,false
2023-12-11,CPO/矽光子,6451,訊芯-KY,3,55.0,13.2,6.0,9.0,14263.8,30445.9,60.0,49.7,25.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,37.3,16.6,0,0,0,6,2.3,-3.4,false,false,false,false
2023-12-11,PCB/載板,3037,欣興,4,51.0,13.2,14.8,-2.0,14279.5,70952.3,46.7,45.0,64.4,theme_leader,true,70.0,ok,2021-12-01,fundamental checks passed,41.8,100.0,6200,3100,6.0,1,34.2,23.0,true,false,false,false
2023-12-11,PCB/載板,8046,南電,4,51.0,13.2,14.8,-2.0,14279.5,70952.3,46.7,45.0,30.3,watch,true,70.0,ok,2021-12-01,fundamental checks passed,37.8,29.2,3300,1800,8.0,6,4.1,-4.5,false,false,false,false
2023-12-11,PCB/載板,3189,景碩,4,51.0,13.2,14.8,-2.0,14279.5,70952.3,46.7,45.0,23.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,35.7,10.0,0,0,0,13,1.4,-1.4,false,false,false,false
2023-12-11,PCB/載板,2368,金像電,4,51.0,13.2,14.8,-2.0,14279.5,70952.3,46.7,45.0,61.6,theme_leader,true,100.0,ok,2021-12-01,fundamental checks passed,33.8,100.0,2800,1200,13.8,2,19.3,2.5,true,false,false,false
2023-12-11,PCB/載板,2383,台光電,4,51.0,13.2,14.8,-2.0,14279.5,70952.3,46.7,45.0,35.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,38.4,0,0,0,5,5.4,-3.7,false,false,false,false
2023-12-11,PCB/載板,6274,台燿,4,51.0,13.2,14.8,-2.0,14279.5,70952.3,46.7,45.0,29.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,33.8,23.8,0,0,0,8,3.3,-4.0,false,false,false,false
2023-12-11,PCB/載板,6213,聯茂,4,51.0,13.2,14.8,-2.0,14279.5,70952.3,46.7,45.0,25.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,2021-12-01,PE or revenue data missing; excluded from qualified candidates,37.1,16.5,0,0,0,11,2.3,-0.2,false,false,false,false
